name,scope,other_names,location_found,pattern_type,pattern,confidence_no_fp,expected_countries,source,exp_url,notes
ooni.by_4,isp,cl.dns_isp_by_mts,dns,full,134.17.0.7,5,BY,ooni,,Belarusian ISP block on mobile ISP MTS uses a DNS forward
ooni.cn_0,nat,cl.dns_nat_cn_poison_01,dns,full,8.7.198.45,5,CN,ooni,,A published poison reply IP related to Chinese GFW (ARIN)
ooni.cn_1,nat,cl.dns_nat_cn_poison_02,dns,full,37.61.54.158,5,CN,ooni,,A published poison reply IP related to Chinese GFW (European Regional Registry)
ooni.cn_2,nat,cl.dns_nat_cn_poison_03,dns,full,46.82.174.68,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Deutsche Telecom)
ooni.cn_3,nat,cl.dns_nat_cn_poison_04,dns,full,78.16.49.15,5,CN,ooni,https://explorer.ooni.org/measurement/20191205T074509Z_AS4134_snD532tevf4HneyRwKvtRLSxBppvIFgxGq8FwjFKH3R1eSVv1m?input=http://kareemazmy.blogspot.com/,A published poison reply IP related to Chinese GFW (Esat Telecommunications Limited)
ooni.cn_4,nat,cl.dns_nat_cn_poison_05,dns,full,93.46.8.89,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Fastweb)
ooni.cn_5,nat,cl.dns_nat_cn_poison_06,dns,full,159.106.121.75,5,CN,ooni,,A published poison reply IP related to Chinese GFW (DoD)
ooni.cn_6,nat,"cl.dns_nat_cn_poison_07,cl.dns_nat_cn_poison_09,ooni.cn_8",dns,full,203.98.7.65,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Telstra)
ooni.cn_7,nat,cl.dns_nat_cn_poison_08,dns,full,59.24.3.173,5,CN,ooni,,A published poison reply IP related to Chinese GFW (Korea Telecom)
ooni.cn_9,nat,cl.dns_nat_cn_poison_10,dns,full,243.185.187.39,5,CN,ooni,,A published poison reply IP related to Chinese GFW
ooni.id_39,isp,cl.dns_prod_id_nawala,dns,full,180.131.146.7,5,ID,ooni,https://explorer.ooni.org/measurement/20170214T023529Z_AS17974_1hVbJGBPLdOsxQvNgIawwvABxfZuLNeVK5VaY1XWajguEt0yK3?input=http://www.lesbian.org,Indonesian Sehat DNS filtering product
ooni.id_40,isp,cl.dns_isp_id_sehat_telkomsel_baik,dns,full,202.3.219.209,5,ID,ooni,https://explorer.ooni.org/measurement/20170316T024318Z_AS23693_CQPxlyILeqGXlHzFqGSCPR6MgtCBfZtbs3h2l37MOyiU77N1xP?input=http://www.bglad.com,Indonesian ISP Telkomsel Internet Baik sehat blockpage
ooni.id_41,isp,cl.dns_isp_id_sehat_tri_cname,dns,full,restricted.tri.co.id,5,ID,ooni,https://explorer.ooni.org/measurement/20200329T090119Z_AS45727_GqQe4DZduLsSaYZB6qnqeMpsNgJn7dTvEaoEFZ0eGGmjyBoQG4?input=https://www.scruff.com/,"Indonesian ISP Tri blockpage, matches on the CNAME"
